Illumicode,N,Mean GRN,Dev GRN,Mean RED,Dev RED
312,38,722,112,7989,1340
2259,28,784,51,22292,3350
331,35,3469,466,5962,881
83,23,2811,449,307,71
3725,28,6657,1089,8850,1197
2291,42,3046,560,4516,799
2901,38,2556,313,1030,212
885,29,5111,616,786,110
5061,35,421,47,6526,930
2390,17,678,68,7294,793
4262,27,745,65,7487,878
1105,30,7268,1385,9691,1645
2450,21,2959,523,8364,1466
752,22,1295,170,5601,664
2347,28,1162,124,5127,553
657,27,1972,220,4476,506
2298,25,364,33,3385,537
296,25,1875,331,2150,416
96,24,671,96,215,44
67,31,515,96,2489,378
62,26,578,97,4630,725
247,38,4779,583,2005,210
5943,30,4561,850,11971,2248
4881,23,1773,329,432,79
4225,23,372,41,5236,510
1759,30,652,89,4022,683
4144,30,4287,416,1481,194
1692,23,292,35,152,31
1775,39,7878,1529,845,160
895,24,4786,634,9206,1383
5551,27,534,63,8347,865
3349,34,917,118,3196,525
4189,27,3043,321,6981,763
1559,27,842,99,13394,1591
2,25,294,37,424,159
3435,28,807,85,8941,955
5275,22,3325,385,859,167
4297,26,8003,1272,1632,312
4224,23,460,66,6762,1436
1596,27,375,29,9286,1196
2658,33,827,74,8250,1172
5044,24,6262,944,1147,165
1241,22,2287,340,298,69
992,39,1082,143,7894,1163
3077,34,701,114,9394,1397
1961,28,1241,254,1571,409
3996,33,5074,809,499,81
2383,23,6866,1022,1993,377
1145,26,5596,896,620,80
51,24,741,131,9484,2654
2415,29,704,88,4048,711
5131,32,497,105,6242,1244
6062,32,694,60,11130,1691
4908,26,3213,492,1058,159
4969,27,6185,1036,6864,1227
1222,22,466,45,8308,1156
23,35,3845,616,6794,1253
3938,33,854,103,12143,1869
36,27,480,56,6115,865
4029,23,1068,180,10230,2158
4997,19,3794,234,638,104
1267,30,636,104,11596,1444
4234,32,514,76,8498,1432
2619,25,578,68,7067,906
5735,28,615,64,7100,899
5123,27,2054,271,2620,443
5790,24,774,114,11751,2083
3811,36,1260,208,4631,886
6131,25,4986,707,444,90
4065,30,2841,473,4445,679
3290,26,950,117,8376,1148
